"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrests_B_pct","arrests_W_pct","pct_arrests","pct_black_arrests","pct_white_arrests","SIR","SIR_B","SIR_W"
"100",11100,2010,397,75,472,37,129,2993,163,2688,0.054460408,0.898095556,0.840923533149756,0.158864647320483,0.157696034212021,0.147687958037275,0.459840588595953,4.61112271317971,4.3180185306642,13.2294124892463
"101",11100,2011,370,85,458,37,129,3152,166,2726,0.052664975,0.864847716,0.807683911809648,0.185549006767081,0.145299958757654,0.135725028428891,0.511739915713426,4.24885656488936,3.96831114482371,14.727064993074
"102",11100,2012,387,71,458,37,129,2901,286,2400,0.098586694,0.827300931,0.844793713163065,0.154987993887797,0.157871152321533,0.161243281529936,0.248164977280671,4.61610514387173,4.71374736360078,7.19227649067406
"103",11100,2013,398,74,475,37,129,2600,170,2359,0.065384615,0.907307692,0.837718375078931,0.15575668280362,0.182685281335333,0.168708405747955,0.435038212815991,5.34106094488556,4.93188017784329,12.5246399203716
"104",11100,2014,420,91,511,37,129,2519,147,2289,0.058356491,0.908693926,0.821756994717276,0.17804734885541,0.202850224286452,0.183478222882356,0.61862678450034,5.93040430137561,5.36345234173658,17.7647028500848
"105",11100,2015,305,113,419,37,129,2451,157,2218,0.064055488,0.904936761,0.727749940348365,0.269625387735624,0.170943657949492,0.13750507190839,0.71928707829408,4.99744816285318,4.01940226526149,20.6801186537095
"106",11100,2016,360,115,477,37,129,2419,402,1933,0.166184374,0.799090533,0.754558792705932,0.241039614336617,0.197180769707743,0.186229372510475,0.285998507833872,5.7643885223948,5.44263796265441,8.3122228967854
"107",11100,2017,445,175,623,37,129,2512,246,1990,0.097929936,0.792197452,0.714171080083454,0.280853795538437,0.24799968154134,0.223606853926938,0.711093051605039,7.2503433981706,6.53528514837359,20.5760611173512
"108",11100,2018,434,111,546,37,129,2724,344,2036,0.126284875,0.74743025,0.794726240615272,0.203259476286394,0.200433170588451,0.213152595648544,0.32258064516129,5.86023513083279,6.22994156606859,9.36442221801463
"109",11200,2010,169,59,229,37,129,2538,1306,1212,0.514578408,0.477541371,0.737669140113488,0.257529463116543,0.0902249714353256,0.1394274399802,0.045172651404946,2.63778386419951,4.07129402308122,1.31926647855027
"110",11200,2011,219,91,310,37,129,2409,1256,1111,0.521378165,0.461187215,0.706223798774589,0.293453724604966,0.128678759702794,0.19710197101971,0.0724464612690073,3.76178048660498,5.75417858922413,2.11561573741183
"111",11200,2012,248,86,335,37,129,2131,1155,934,0.541999061,0.438291882,0.740077588779469,0.256639809012235,0.157195814368167,0.265496199550369,0.0744524283611809,4.59474239375152,7.74714870633044,2.17376814638187
"112",11200,2013,208,61,269,37,129,2180,1212,945,0.555963303,0.433486239,0.772946859903382,0.226681531029357,0.123388835374524,0.220082530949106,0.0503258807029123,3.60669141032392,6.42220857937192,1.46952032785772
"113",11200,2014,140,72,212,37,129,2160,1153,980,0.533796296,0.453703704,0.66006600660066,0.339462517680339,0.0981436044627564,0.142842567084991,0.0624403781111786,2.86873160012402,4.16872006679321,1.82304772662317
"114",11200,2015,196,84,282,37,129,1983,1233,708,0.621785174,0.357034796,0.694789081885856,0.297766749379653,0.142201603549997,0.276797062561785,0.0681209958640824,4.15605943422558,8.06913637636883,1.9892181438207
"115",11200,2016,211,113,326,37,129,2472,1177,1248,0.476132686,0.504854369,0.647040785035265,0.346519472554431,0.13187168803851,0.169056966589216,0.095998640727211,3.85523734572258,4.93681023484778,2.80297518587869
"116",11200,2017,189,86,277,37,129,2527,1327,1173,0.525128611,0.464186783,0.68206423673764,0.310357271743053,0.109611808001266,0.161111584690137,0.0648029538090573,3.20455472287541,4.70410915830203,1.89263378935936
"117",11200,2018,197,84,284,37,129,2540,1261,1254,0.496456693,0.493700787,0.69341781063006,0.295670538542767,0.111806621786544,0.157084761980703,0.0666085163745936,3.2687398677749,4.58724689493786,1.94515063359399
"118",11300,2010,131,309,449,37,129,1493,1173,213,0.785666443,0.142665774,0.291694500111334,0.688042752171009,0.300716629830554,0.614734866259972,0.263404654334669,8.78479992421747,17.756631857225,7.69084513182712
"119",11300,2011,166,394,562,37,129,1357,1049,236,0.77302874,0.173913043,0.295321117238925,0.700942892723715,0.414118340579176,0.703091910207539,0.375560003812792,12.0953004022929,20.334760835506,10.9624235134609
"120",11300,2012,160,439,607,37,129,1487,1144,217,0.76933423,0.145931406,0.263548015154011,0.723109866578817,0.408176988770089,0.736987563334869,0.383707717856831,11.9239359774121,21.2930400944124,11.2027512845576
"121",11300,2013,140,307,450,37,129,1633,1170,269,0.71647275,0.164727495,0.31104199066874,0.682070650966452,0.275549568305676,0.520252694165738,0.2623707375438,8.05090169340552,15.0685642865834,7.66060978701173
"122",11300,2014,136,268,409,37,129,1533,1125,218,0.733855186,0.142204827,0.33243705695429,0.655096553409924,0.266779727349814,0.623567171022467,0.238201048795663,7.7937894005909,18.017160644458,6.95424125381586
"123",11300,2015,172,301,474,37,129,1671,1251,267,0.748653501,0.15978456,0.362792659776418,0.634887154608732,0.283645502962121,0.64395357543991,0.240588282311566,8.28777126123729,18.6499766382359,7.02570946646823
"124",11300,2016,138,288,430,37,129,1758,1383,209,0.78668942,0.118885097,0.320855614973262,0.669611718205069,0.244582219441442,0.659971305595409,0.208227893861615,7.14698762011956,19.0585145841844,6.082023179477
"125",11300,2017,162,336,504,37,129,1804,1304,259,0.722838137,0.143569845,0.321364808569728,0.666534417774251,0.279363671636827,0.62524121960633,0.257648953301127,8.16367777712089,18.1021820349423,7.52460816339363
"126",11300,2018,119,210,329,37,129,1816,1337,245,0.73623348,0.134911894,0.361592221209359,0.638103919781221,0.181157425251913,0.485516115871073,0.157056315907561,5.29390999853176,14.0481564449395,4.58705658015212
"127",11400,2010,369,324,693,37,129,1362,286,1045,0.209985316,0.767254038,0.532390708411485,0.467465012263743,0.508773217825417,0.353076260644914,1.1324711639287,14.8600321668119,10.3060274072793,32.8210927180055
"128",11400,2011,388,317,707,37,129,1407,272,1125,0.193319119,0.799573561,0.548720124451987,0.448309998585773,0.502451851325421,0.344858234823571,1.16501286291804,14.6763724417148,10.0680806211961,33.7472226646032
"129",11400,2012,223,170,394,37,129,1502,408,1085,0.271637816,0.722370173,0.565846231920832,0.431362598325298,0.26229944744025,0.205511012809879,0.416564567507964,7.66261000190944,5.99930666499566,12.1082203858131
"130",11400,2013,206,119,327,37,129,1633,514,1111,0.314758114,0.680342927,0.629776826658514,0.363803118312443,0.200232686302125,0.18540185401854,0.231472476171951,5.85032189720801,5.41260634420169,6.73773271767052
"131",11400,2014,173,127,300,37,129,1687,396,1241,0.234736218,0.73562537,0.576474508497168,0.423192269243585,0.177819927686563,0.139392474417855,0.320626104519061,5.19576187139146,4.07049432793434,9.3176494849549
"132",11400,2015,135,149,287,37,129,1717,353,1297,0.205591147,0.755387303,0.470219435736677,0.518982932776036,0.167142274765593,0.104078328579138,0.421976777116964,4.88391177720349,3.0395601824592,12.2524076322126
"133",11400,2016,165,74,241,37,129,1681,382,1217,0.227245687,0.723973825,0.684363334715886,0.30692658647864,0.143358515257867,0.135568153808233,0.193666579429469,4.18880082958364,3.95864035206461,5.6266439084206
"134",11400,2017,154,127,282,37,129,1664,372,1184,0.223557692,0.711538462,0.54590570719603,0.450194966323999,0.169460969893636,0.130056583058863,0.341306100510615,4.95140506327079,3.79745520780691,9.91409544784793
"135",11400,2018,250,135,388,37,129,1652,386,1157,0.233656174,0.700363196,0.644163875289874,0.347848492656532,0.234852611827371,0.216057384841414,0.34965034965035,6.86196997865937,6.30819777270447,10.1592526031354
"136",11500,2010,42,49,91,37,129,8118,5660,1826,0.697216063,0.224932249,0.461031833150384,0.537870472008782,0.0112095194688412,0.0229998357154592,0.00865709086411901,0.327968155616519,0.672123134539922,0.253250908949737
"137",11500,2011,24,77,101,37,129,8534,6449,1731,0.75568315,0.202835716,0.237388724035608,0.76162215628091,0.0118348742105201,0.0138640170989544,0.0119396504938674,0.346270662085982,0.405113167887008,0.349298865043463
"138",11500,2012,36,60,96,37,129,8894,6632,1989,0.745671239,0.223633911,0.374609781477627,0.624349635796046,0.0107936722096671,0.0180986375747826,0.00904690821911612,0.315810886548081,0.528962645491001,0.264673825998708
"139",11500,2013,20,55,75,37,129,8893,6673,1875,0.750365456,0.210839987,0.266311584553928,0.732356857523302,0.00843350462718287,0.0106660978081169,0.00824204642519968,0.24675498997234,0.31170747240425,0.241127644822447
"140",11500,2014,28,52,81,37,129,8631,6454,1808,0.747769667,0.209477465,0.345252774352651,0.641183723797781,0.00938466707603897,0.0154858691444057,0.00805689406733704,0.274582299497885,0.452535874092167,0.23570747821903
"141",11500,2015,23,31,54,37,129,8547,6443,1614,0.753831754,0.188838189,0.425138632162662,0.573012939001848,0.00631793239812334,0.0142494269252215,0.00481134857444398,0.184853315499642,0.416325827186884,0.14075771410172
"142",11500,2016,23,46,69,37,129,8450,6281,1748,0.743313609,0.206863905,0.332850940665702,0.665701881331404,0.00816558383924451,0.0131571420399291,0.00732355797551384,0.238911944894047,0.384464038199395,0.214250870465164
